name,handle,date,text,replys,retweets,likes
Lauren Boebert,@laurenboebert,2021-07-08 19:10:06+00:00,"Lauren BoebertAnyone who wants the vaccine should have easy access to it (and thanks to President Trump they do).

Anyone who doesn’t want the vaccine should be able to refuse it without being made to feel like a criminal.

This is a free country after all.
1.5K
3.5K
17.8K",1.5K,3.5K,17.8K
Orlando Sentinel,@orlandosentinel,2021-07-08 19:46:03+00:00,"Orlando SentinelFlorida man who set up GoFundMe for Trump’s border wall indicted on tax charges https://bit.ly/36ncs5z
286
1.7K
4.8K",286,1.7K,4.8K
Catturd ™,@catturd2,2021-07-08 19:56:11+00:00,"Catturd ™I’m old enough to remember when Michael Avenatti said Trump was going to prison. 
519
3.8K
21.7K",519,3.8K,21.7K
Lauren Boebert,@laurenboebert,2021-07-08 20:34:36+00:00,"Lauren BoebertMichael Avenatti loved to talk about Trump going to prison.

Well, we see how that turned out. 

Enjoy those 30 months in the slammer, Mike. Hope things don’t get too stormy.
1.1K
1.9K
10K",1.1K,1.9K,10K
Outspoken,@Out5p0ken,2021-07-08 20:49:22+00:00,"OutspokenTrump is demanding the identity of the officer that shot Ashli Babbit. The GOP is demanding that Trump get this answer. 

Trump and the GOP do not back the blue.
882
2.1K
10.3K",882,2.1K,10.3K
UberFacts,@UberFacts,2021-07-08 23:14:54+00:00,"UberFactsBarron Trump is 6'7"" — over a foot taller than the average 15-year-old
611
2K
9.1K",611,2K,9.1K
Chrissi Nielsen,@NielsenChrissi,2021-07-09 00:11:45+00:00,"Chrissi NielsenSince Barron Trump is trending...

I give you Malia Obama to cleanse all your timelines..
553
722
11K",553,722,11K
PatriotTakes,@patriottakes,2021-07-09 01:30:00+00:00,"PatriotTakesHere is a preview of what CPAC in Dallas (starting tomorrow) looks like. Trump, Trump Jr, Lauren Boebert, Madison Cawthorne, Ronny Jackson, Devin Nunes, Candace Owens, Stephen Miller, Kristi Noem, Marsha Blackburn, and Ben Carson will be speaking.
1.5K
882
1.4K",1.5K,882,1.4K
Jon Cooper,@joncoopertweets,2021-07-09 02:02:41+00:00,"Jon CooperTrump joked about Jamal Khashoggi's grisly murder in phone calls to Saudi prince: report
rawstory.com
Trump joked about Jamal Khashoggi's grisly murder in phone calls to Saudi prince: report
Former president Donald Trump cracked a joke about the grisly murder of Jamal Khashoggi by Saudi operatives, according to a new report.The October 2018 murder of the U.S.-based journalist set off a...
977
3.9K
5.7K",977,3.9K,5.7K
Sen. Marsha Blackburn,@MarshaBlackburn,2021-07-09 02:32:08+00:00,"Sen. Marsha BlackburnThe mainstream media gave Michael Avenati a platform to spread misinformation because they hated President Trump. Now Avenati is heading to prison.
747
1K
4.9K",747,1K,4.9K
Ty Ross,@cooltxchick,2021-07-09 02:40:19+00:00,"Ty RossWhen people say they only voted for Trump because of his ‘policies’ does anyone else feel ‘policies’ is a code word for racism?
905
816
6.4K",905,816,6.4K
